game_id,nickname,score,bot_nickname,bot_score,bot_rating,rating
1,stevy,429,BetterBot,335,1637,1500
3,davidavid,440,BetterBot,318,2071,1811
4,Inandoutworker,119,BetterBot,478,1936,1473
5,stevy,325,STEEBot,427,1844,1500
6,HivinD,378,STEEBot,427,2143,2029
8,AliSalman1,414,HastyBot,528,2244,2067
9,cccc,364,BetterBot,464,1624,1641
10,squashy,299,BetterBot,415,1972,1838
12,BB-8,351,HastyBot,408,1614,1500
13,Trayz,434,STEEBot,381,2122,2017
15,meetsumeet,403,STEEBot,451,2155,1863
16,Mimix,418,BetterBot,385,1927,1829
17,BB-8,280,HastyBot,518,1615,1500
18,PVMG,332,BetterBot,419,1907,1948
19,HivinD,380,STEEBot,471,2259,2151
20,Favournew,356,STEEBot,389,2095,1851
21,BB-8,334,HastyBot,360,1664,1500
22,NoelL,458,HastyBot,426,2183,2056
23,pandorable,359,BetterBot,371,1832,1674
24,Avyze,476,STEEBot,382,2221,2099
25,wagyus,574,HastyBot,404,2318,2072
26,HivinD,372,STEEBot,427,2096,2086
29,wagyus,451,HastyBot,471,2335,2083
30,ji1222,444,HastyBot,467,2202,1712
31,AWFUL,419,STEEBot,421,2213,2138
33,Hercules,451,STEEBot,377,1811,1853
34,stevy,354,BetterBot,425,1735,1500
35,Olympicnaija,406,STEEBot,445,2183,1947
36,TrentonTron,517,HastyBot,379,2143,1956
37,derickalim,387,BetterBot,318,2008,1890
38,shcheah,441,HastyBot,433,2238,2067
39,ji1222,486,HastyBot,414,2150,1712
42,DDarien,365,STEEBot,466,2154,1884
43,chloe,416,HastyBot,486,2024,1873
45,stevy,355,STEEBot,442,1874,1500
46,Kathleen3,526,BetterBot,307,2075,1982
47,Goldenlamb,412,STEEBot,445,2113,2055
48,kar2008,444,BetterBot,430,1704,1838
49,DJosh,408,STEEBot,388,2186,2035
50,Zynx,419,BetterBot,358,2003,1905
51,Leo,313,STEEBot,467,1842,1755
52,Juma,444,BetterBot,421,2004,1612
53,UcheVictor,410,STEEBot,428,2152,1948
54,BB-8,357,HastyBot,422,1635,1500
56,Gtowngrad,401,BetterBot,351,1628,1387
58,eideticeve,389,HastyBot,495,2212,1910
59,audrey.lwx,379,BetterBot,426,2024,1513
